"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_MUL_TEXT_KOREAN_DRAMA_all_0","0.6923597297648456","0","all","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:06:05.000Z","131","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_all_1","0.660761740829216","1","all","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:09:34.000Z","108","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_all_2","0.7063760493418847","2","all","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:12:18.000Z","118","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_all_3","0.6515200096058357","3","all","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:14:49.000Z","127","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_all_4","0.6977569595565052","4","all","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:15:57.000Z","37","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_no_text_0","0.5968732561151263","0","no_text","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:04:02.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_no_text_1","0.629768885563703","1","no_text","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:08:59.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_no_text_2","0.658058855185226","2","no_text","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:11:56.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_no_text_3","0.6700800424418293","3","no_text","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:14:33.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_no_text_4","0.6026714816462992","4","no_text","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:17:13.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_text_only_0","0.6577596734594796","0","text_only","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:04:22.000Z","41","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_text_only_1","0.6612870920124962","1","text_only","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:09:20.000Z","134","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_text_only_2","0.6812540478579681","2","text_only","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:10:31.000Z","42","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_text_only_3","0.6566198232188566","3","text_only","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:13:14.000Z","49","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_KOREAN_DRAMA_text_only_4","0.7152615472535475","4","text_only","CatBoost 😸","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:17:24.000Z","108","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_all_0","0.634339509080079","0","all","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:05:04.000Z","60","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_all_1","0.6356389899406494","1","all","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:08:50.000Z","121","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_all_2","0.6741509734191347","2","all","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:11:52.000Z","121","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_all_3","0.679609696646226","3","all","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:14:30.000Z","121","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_all_4","0.659001994869419","4","all","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:17:12.000Z","86","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_no_text_0","0.6002631847284092","0","no_text","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:04:36.000Z","1","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_no_text_1","0.6153586256966046","1","no_text","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:08:34.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_no_text_2","0.6310528113707192","2","no_text","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:11:40.000Z","1","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_no_text_3","0.6459531783839972","3","no_text","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:14:08.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_no_text_4","0.5775170174634652","4","no_text","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:16:51.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_text_only_0","0.6321337743020854","0","text_only","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:04:56.000Z","73","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_text_only_1","0.6339457198579188","1","text_only","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:07:21.000Z","54","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_text_only_2","0.664864094849676","2","text_only","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:11:45.000Z","60","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_text_only_3","0.6544412964961148","3","text_only","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:14:22.000Z","60","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_KOREAN_DRAMA_text_only_4","0.6453266354358439","4","text_only","LightGBM 💡","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:17:01.000Z","73","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_KOREAN_DRAMA_all_0","0.70056554838131","0","all","TabM Ⓜ️","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:06:44.000Z","59","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_KOREAN_DRAMA_all_1","0.7223024875537605","1","all","TabM Ⓜ️","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:10:04.000Z","60","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_KOREAN_DRAMA_all_2","0.7203586583531083","2","all","TabM Ⓜ️","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:11:44.000Z","29","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_KOREAN_DRAMA_all_3","0.6925776010188389","3","all","TabM Ⓜ️","MUL_TEXT_KOREAN_DRAMA","2026-09-03T01:15:38.000Z","86","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
