dataset,baseline_accept,frac_subsets_accept
BIN_TEXT_PROFESSIONAL_KICKSTARTER_FUNDING,True,1.0
BIN_TEXT_SOCIAL_JIGSAW_TOXICITY,True,1.0
MUL_TEXT_CONSUMER_PRODUCT_SENTIMENT,True,1.0
MUL_TEXT_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,True,1.0
MUL_TEXT_FOOD_MICHELIN_GUIDE_RESTAURANTS,True,1.0
MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY,True,1.0
REG_TEXT_CONSUMER_BABIES_R_US_PRICES,True,1.0
REG_TEXT_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,True,1.0
REG_TEXT_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,True,1.0
REG_TEXT_SOCIAL_BOOK_READABILITY_CLEAR,True,1.0
REG_TEXT_SOCIAL_VIDEO_GAMES_SALES,True,1.0
BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,True,0.839
MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT,True,0.839
MUL_TEXT_TRANSPORTATION_US_ACCIDENTS_MARCH23,True,0.839
REG_TEXT_CONSUMER_BOOK_PRICE_PREDICTION,True,0.839
REG_TEXT_CONSUMER_MERCARI_ONLINE_MARKETPLACE,True,0.839
REG_TEXT_FOOD_ZOMATO_RESTAURANTS,True,0.839
REG_TEXT_SOCIAL_MOVIES_ROTTEN_TOMATOES,True,0.839
BIN_TEXT_PROFESSIONAL_FAKE_JOB_POSTING,True,0.516
MUL_TEXT_FOOD_WINE_REVIEW,True,0.516
MUL_TEXT_PROFESSIONAL_DATA_SCIENTIST_SALARY,True,0.516
MUL_TEXT_SOCIAL_SPOTIFY_GENRES,True,0.516
REG_TEXT_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,True,0.516
BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA,False,0.194
MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON,False,0.194
REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES,False,0.194
REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE,False,0.194
REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES,False,0.194
REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS,False,0.194
REG_TEXT_FOOD_WINE_VIVINO_SPAIN,False,0.194
REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020,False,0.194
REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS,False,0.194
REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,False,0.194
REG_TEXT_SPORTS_FIFA22_WAGES,False,0.194
BIN_TEXT_SOCIAL_IMDB_GENRE_PREDICTION,False,0.032
MUL_TEXT_HOUSES_MELBOURNE_AIRBNB,False,0.032
REG_TEXT_CONSUMER_BIKE_PRICE_BIKEWALE,False,0.032
REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES,False,0.032
REG_TEXT_SOCIAL_BOOKS_GOODREADS,False,0.032
REG_TEXT_SOCIAL_KOREAN_DRAMA,False,0.032
REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES,False,0.032
REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN,False,0.032
REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,False,0.032
MUL_TEXT_FOOD_YELP_REVIEWS,False,0.0
REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO,False,0.0
REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES,False,0.0
REG_TEXT_FOOD_BEER_RATINGS,False,0.0
REG_TEXT_FOOD_COFFEE_REVIEW,False,0.0
REG_TEXT_FOOD_RAMEN_RATINGS_2022,False,0.0
REG_TEXT_HOUSES_AIRBNB_SEATTLE,False,0.0
REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,False,0.0
REG_TEXT_SOCIAL_ANIME_PLANET_RATING,False,0.0
REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY,False,0.0
REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE,False,0.0
REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,False,0.0
REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,False,0.0
