"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_REG_TEXT_RAMEN_RATINGS_all_0","0.10008070570858829","0","all","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:20:58.000Z","107","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_all_1","0.23226982911989602","1","all","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:22:59.000Z","63","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_all_2","0.1341284279190167","2","all","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:25:04.000Z","102","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_all_3","0.18809625265613805","3","all","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:27:06.000Z","63","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_all_4","0.22489985770427745","4","all","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:29:03.000Z","51","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_no_text_0","0.05306779525920613","0","no_text","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:19:16.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_no_text_1","0.14420157021994073","1","no_text","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:22:38.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_no_text_2","0.0785593000702337","2","no_text","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:24:39.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_no_text_3","0.06346887059004813","3","no_text","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:26:51.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_no_text_4","0.10683791242645024","4","no_text","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:28:57.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_text_only_0","0.09385074139066174","0","text_only","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:20:46.000Z","68","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_text_only_1","0.2024552881126538","1","text_only","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:22:54.000Z","50","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_text_only_2","0.10107399902836145","2","text_only","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:25:01.000Z","50","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_text_only_3","0.1392573075943584","3","text_only","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:27:04.000Z","97","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_RAMEN_RATINGS_text_only_4","0.21610348817173053","4","text_only","CatBoost 😸","REG_TEXT_RAMEN_RATINGS","2026-09-03T02:29:00.000Z","98","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
